slot_id,date,time,center,vehicle_name,status,is_high_risk_reserve,priority_level
195,2025-12-15,15:30,Bosch - Vashi,,available,False,normal
196,2025-12-15,15:30,CarWale - Nerul,,available,False,normal
197,2025-12-15,15:30,Pitstop - Sanpada,,available,False,normal
198,2025-12-15,15:30,GoMechanic - Airoli,,available,False,normal
199,2025-12-15,15:30,MyTVS - Rabale,,available,False,normal
200,2025-12-15,15:30,CarCrew - Ghansoli,,available,True,emergency
201,2025-12-15,15:30,Autofit - Koparkhairne,,available,True,emergency
202,2025-12-15,15:30,CarDekho - Panvel,,available,True,emergency
203,2025-12-15,15:30,Pitstop - Powai,,available,True,emergency
204,2025-12-15,15:30,GoMechanic - JVLR,,available,True,emergency
205,2025-12-15,15:30,MyCarHelpline - Hiranandani,,available,True,emergency
206,2025-12-15,15:30,CarFix - Chandivali,,available,True,emergency
207,2025-12-15,15:30,Bosch - Kurla,,available,True,emergency
208,2025-12-15,15:30,CarWale - Ghatkopar West,,available,True,emergency
209,2025-12-15,16:30,CarWale Service - Chembur,,available,True,emergency
210,2025-12-15,16:30,GoMechanic - Chembur East,,available,False,normal
211,2025-12-15,16:30,MyTVS - Tilak Nagar,,available,False,normal
212,2025-12-15,16:30,Pitstop - Ghatkopar,,available,False,normal
213,2025-12-15,16:30,CarCrew - Vikhroli,,available,False,normal
214,2025-12-15,16:30,Bosch Car Service - Mulund,,available,False,normal
215,2025-12-15,16:30,MyCarHelpline - Kanjurmarg,,available,False,normal
216,2025-12-15,16:30,GoMechanic - Bhandup,,available,False,normal
217,2025-12-15,16:30,Autofit - Nahur,,available,False,normal
218,2025-12-15,16:30,CarFix - Vikhroli West,,available,False,normal
219,2025-12-15,16:30,GoMechanic - Andheri East,,available,False,normal
220,2025-12-15,16:30,Pitstop - Andheri West,,available,False,normal
221,2025-12-15,16:30,CarCrew - Malad West,,available,False,normal
222,2025-12-15,16:30,MyTVS - Goregaon East,,available,False,normal
223,2025-12-15,16:30,Bosch - Borivali West,,available,False,normal
224,2025-12-15,16:30,CarDekho - Kandivali,,available,False,normal
225,2025-12-15,16:30,Pitstop - Juhu,,available,True,emergency
226,2025-12-15,16:30,GoMechanic - Santacruz,,available,True,emergency
227,2025-12-15,16:30,MyTVS - Bandra East,,available,True,emergency
228,2025-12-15,16:30,Autofit - Khar West,,available,True,emergency
229,2025-12-15,16:30,CarWale - Lokhandwala,,available,True,emergency
230,2025-12-15,16:30,CarFix - Versova,,available,True,emergency
231,2025-12-15,16:30,CarFix - Dadar,,available,True,emergency
232,2025-12-15,16:30,MyTVS - Sion,,available,True,emergency
233,2025-12-15,16:30,Bosch Car Service - Parel,,available,True,emergency
234,2025-12-15,16:30,CarDekho - Bandra West,,available,True,emergency
235,2025-12-15,16:30,Pitstop - Worli,,available,False,normal
236,2025-12-15,16:30,GoMechanic - Lower Parel,,available,False,normal
237,2025-12-15,16:30,MyCarHelpline - Matunga,,available,False,normal
238,2025-12-15,16:30,CarCrew - Prabhadevi,,available,False,normal
239,2025-12-15,16:30,MyTVS - Thane West,,available,False,normal
240,2025-12-15,16:30,Bosch - Thane East,,available,False,normal
241,2025-12-15,16:30,Pitstop - Ghodbunder,,available,False,normal
242,2025-12-15,16:30,GoMechanic - Wagle Estate,,available,False,normal
243,2025-12-15,16:30,CarWale - Kalwa,,available,False,normal
244,2025-12-15,16:30,Autofit - Pokhran Road,,available,False,normal
245,2025-12-15,16:30,CarFix - Kasarvadavali,,available,False,normal
246,2025-12-15,16:30,MyTVS - Manpada,,available,False,normal
247,2025-12-15,16:30,Bosch - Vashi,,available,False,normal
248,2025-12-15,16:30,CarWale - Nerul,,available,False,normal
249,2025-12-15,16:30,Pitstop - Sanpada,,available,False,normal
250,2025-12-15,16:30,GoMechanic - Airoli,,available,True,emergency
251,2025-12-15,16:30,MyTVS - Rabale,,available,True,emergency
252,2025-12-15,16:30,CarCrew - Ghansoli,,available,True,emergency
253,2025-12-15,16:30,Autofit - Koparkhairne,,available,True,emergency
254,2025-12-15,16:30,CarDekho - Panvel,,available,True,emergency
255,2025-12-15,16:30,Pitstop - Powai,,available,True,emergency
256,2025-12-15,16:30,GoMechanic - JVLR,,available,True,emergency
257,2025-12-15,16:30,MyCarHelpline - Hiranandani,,available,True,emergency
258,2025-12-15,16:30,CarFix - Chandivali,,available,True,emergency
259,2025-12-15,16:30,Bosch - Kurla,,available,True,emergency
260,2025-12-15,16:30,CarWale - Ghatkopar West,,available,False,normal
261,2025-12-16,09:30,CarWale Service - Chembur,,available,False,normal
262,2025-12-16,09:30,GoMechanic - Chembur East,,available,False,normal
263,2025-12-16,09:30,MyTVS - Tilak Nagar,,available,False,normal
264,2025-12-16,09:30,Pitstop - Ghatkopar,,available,False,normal
265,2025-12-16,09:30,CarCrew - Vikhroli,,available,False,normal
266,2025-12-16,09:30,Bosch Car Service - Mulund,,available,False,normal
267,2025-12-16,09:30,MyCarHelpline - Kanjurmarg,,available,False,normal
268,2025-12-16,09:30,GoMechanic - Bhandup,,available,False,normal
269,2025-12-16,09:30,Autofit - Nahur,,available,False,normal
270,2025-12-16,09:30,CarFix - Vikhroli West,,available,False,normal
271,2025-12-16,09:30,GoMechanic - Andheri East,,available,False,normal
272,2025-12-16,09:30,Pitstop - Andheri West,,available,False,normal
273,2025-12-16,09:30,CarCrew - Malad West,,available,False,normal
274,2025-12-16,09:30,MyTVS - Goregaon East,,available,False,normal
275,2025-12-16,09:30,Bosch - Borivali West,,available,True,emergency
276,2025-12-16,09:30,CarDekho - Kandivali,,available,True,emergency
277,2025-12-16,09:30,Pitstop - Juhu,,available,True,emergency
278,2025-12-16,09:30,GoMechanic - Santacruz,,available,True,emergency
279,2025-12-16,09:30,MyTVS - Bandra East,,available,True,emergency
280,2025-12-16,09:30,Autofit - Khar West,,available,True,emergency
281,2025-12-16,09:30,CarWale - Lokhandwala,,available,True,emergency
282,2025-12-16,09:30,CarFix - Versova,,available,True,emergency
283,2025-12-16,09:30,CarFix - Dadar,,available,True,emergency
284,2025-12-16,09:30,MyTVS - Sion,,available,True,emergency
285,2025-12-16,09:30,Bosch Car Service - Parel,,available,False,normal
286,2025-12-16,09:30,CarDekho - Bandra West,,available,False,normal
287,2025-12-16,09:30,Pitstop - Worli,,available,False,normal
288,2025-12-16,09:30,GoMechanic - Lower Parel,,available,False,normal
289,2025-12-16,09:30,MyCarHelpline - Matunga,,available,False,normal
290,2025-12-16,09:30,CarCrew - Prabhadevi,,available,False,normal
291,2025-12-16,09:30,MyTVS - Thane West,,available,False,normal
292,2025-12-16,09:30,Bosch - Thane East,,available,False,normal
293,2025-12-16,09:30,Pitstop - Ghodbunder,,available,False,normal
294,2025-12-16,09:30,GoMechanic - Wagle Estate,,available,False,normal
295,2025-12-16,09:30,CarWale - Kalwa,,available,False,normal
296,2025-12-16,09:30,Autofit - Pokhran Road,,available,False,normal
297,2025-12-16,09:30,CarFix - Kasarvadavali,,available,False,normal
298,2025-12-16,09:30,MyTVS - Manpada,,available,False,normal
299,2025-12-16,09:30,Bosch - Vashi,,available,False,normal
300,2025-12-16,09:30,CarWale - Nerul,,available,True,emergency
301,2025-12-16,09:30,Pitstop - Sanpada,,available,True,emergency
302,2025-12-16,09:30,GoMechanic - Airoli,,available,True,emergency
303,2025-12-16,09:30,MyTVS - Rabale,,available,True,emergency
304,2025-12-16,09:30,CarCrew - Ghansoli,,available,True,emergency
305,2025-12-16,09:30,Autofit - Koparkhairne,,available,True,emergency
306,2025-12-16,09:30,CarDekho - Panvel,,available,True,emergency
307,2025-12-16,09:30,Pitstop - Powai,,available,True,emergency
308,2025-12-16,09:30,GoMechanic - JVLR,,available,True,emergency
309,2025-12-16,09:30,MyCarHelpline - Hiranandani,,available,True,emergency
310,2025-12-16,09:30,CarFix - Chandivali,,available,False,normal
311,2025-12-16,09:30,Bosch - Kurla,,available,False,normal
312,2025-12-16,09:30,CarWale - Ghatkopar West,,available,False,normal
313,2025-12-16,10:30,CarWale Service - Chembur,,available,False,normal
314,2025-12-16,10:30,GoMechanic - Chembur East,,available,False,normal
315,2025-12-16,10:30,MyTVS - Tilak Nagar,,available,False,normal
316,2025-12-16,10:30,Pitstop - Ghatkopar,,available,False,normal
317,2025-12-16,10:30,CarCrew - Vikhroli,,available,False,normal
318,2025-12-16,10:30,Bosch Car Service - Mulund,,available,False,normal
319,2025-12-16,10:30,MyCarHelpline - Kanjurmarg,,available,False,normal
320,2025-12-16,10:30,GoMechanic - Bhandup,,available,False,normal
321,2025-12-16,10:30,Autofit - Nahur,,available,False,normal
322,2025-12-16,10:30,CarFix - Vikhroli West,,available,False,normal
323,2025-12-16,10:30,GoMechanic - Andheri East,,available,False,normal
324,2025-12-16,10:30,Pitstop - Andheri West,,available,False,normal
325,2025-12-16,10:30,CarCrew - Malad West,,available,True,emergency
326,2025-12-16,10:30,MyTVS - Goregaon East,,available,True,emergency
327,2025-12-16,10:30,Bosch - Borivali West,,available,True,emergency
328,2025-12-16,10:30,CarDekho - Kandivali,,available,True,emergency
329,2025-12-16,10:30,Pitstop - Juhu,,available,True,emergency
330,2025-12-16,10:30,GoMechanic - Santacruz,,available,True,emergency
331,2025-12-16,10:30,MyTVS - Bandra East,,available,True,emergency
332,2025-12-16,10:30,Autofit - Khar West,,available,True,emergency
333,2025-12-16,10:30,CarWale - Lokhandwala,,available,True,emergency
334,2025-12-16,10:30,CarFix - Versova,,available,True,emergency
335,2025-12-16,10:30,CarFix - Dadar,,available,False,normal
336,2025-12-16,10:30,MyTVS - Sion,,available,False,normal
337,2025-12-16,10:30,Bosch Car Service - Parel,,available,False,normal
338,2025-12-16,10:30,CarDekho - Bandra West,,available,False,normal
339,2025-12-16,10:30,Pitstop - Worli,,available,False,normal
340,2025-12-16,10:30,GoMechanic - Lower Parel,,available,False,normal
341,2025-12-16,10:30,MyCarHelpline - Matunga,,available,False,normal
342,2025-12-16,10:30,CarCrew - Prabhadevi,,available,False,normal
343,2025-12-16,10:30,MyTVS - Thane West,,available,False,normal
344,2025-12-16,10:30,Bosch - Thane East,,available,False,normal
345,2025-12-16,10:30,Pitstop - Ghodbunder,,available,False,normal
346,2025-12-16,10:30,GoMechanic - Wagle Estate,,available,False,normal
347,2025-12-16,10:30,CarWale - Kalwa,,available,False,normal
348,2025-12-16,10:30,Autofit - Pokhran Road,,available,False,normal
349,2025-12-16,10:30,CarFix - Kasarvadavali,,available,False,normal
350,2025-12-16,10:30,MyTVS - Manpada,,available,True,emergency
351,2025-12-16,10:30,Bosch - Vashi,,available,True,emergency
352,2025-12-16,10:30,CarWale - Nerul,,available,True,emergency
353,2025-12-16,10:30,Pitstop - Sanpada,,available,True,emergency
354,2025-12-16,10:30,GoMechanic - Airoli,,available,True,emergency
355,2025-12-16,10:30,MyTVS - Rabale,,available,True,emergency
356,2025-12-16,10:30,CarCrew - Ghansoli,,available,True,emergency
357,2025-12-16,10:30,Autofit - Koparkhairne,,available,True,emergency
358,2025-12-16,10:30,CarDekho - Panvel,,available,True,emergency
359,2025-12-16,10:30,Pitstop - Powai,,available,True,emergency
360,2025-12-16,10:30,GoMechanic - JVLR,,available,False,normal
361,2025-12-16,10:30,MyCarHelpline - Hiranandani,,available,False,normal
362,2025-12-16,10:30,CarFix - Chandivali,,available,False,normal
363,2025-12-16,10:30,Bosch - Kurla,,available,False,normal
364,2025-12-16,10:30,CarWale - Ghatkopar West,,available,False,normal
365,2025-12-16,14:00,CarWale Service - Chembur,,available,False,normal
366,2025-12-16,14:00,GoMechanic - Chembur East,,available,False,normal
367,2025-12-16,14:00,MyTVS - Tilak Nagar,,available,False,normal
368,2025-12-16,14:00,Pitstop - Ghatkopar,,available,False,normal
369,2025-12-16,14:00,CarCrew - Vikhroli,,available,False,normal
370,2025-12-16,14:00,Bosch Car Service - Mulund,,available,False,normal
371,2025-12-16,14:00,MyCarHelpline - Kanjurmarg,,available,False,normal
372,2025-12-16,14:00,GoMechanic - Bhandup,,available,False,normal
373,2025-12-16,14:00,Autofit - Nahur,,available,False,normal
374,2025-12-16,14:00,CarFix - Vikhroli West,,available,False,normal
375,2025-12-16,14:00,GoMechanic - Andheri East,,available,True,emergency
376,2025-12-16,14:00,Pitstop - Andheri West,,available,True,emergency
377,2025-12-16,14:00,CarCrew - Malad West,,available,True,emergency
378,2025-12-16,14:00,MyTVS - Goregaon East,,available,True,emergency
379,2025-12-16,14:00,Bosch - Borivali West,,available,True,emergency
380,2025-12-16,14:00,CarDekho - Kandivali,,available,True,emergency
381,2025-12-16,14:00,Pitstop - Juhu,,available,True,emergency
382,2025-12-16,14:00,GoMechanic - Santacruz,,available,True,emergency
383,2025-12-16,14:00,MyTVS - Bandra East,,available,True,emergency
384,2025-12-16,14:00,Autofit - Khar West,,available,True,emergency
385,2025-12-16,14:00,CarWale - Lokhandwala,,available,False,normal
386,2025-12-16,14:00,CarFix - Versova,,available,False,normal
387,2025-12-16,14:00,CarFix - Dadar,,available,False,normal
388,2025-12-16,14:00,MyTVS - Sion,,available,False,normal
389,2025-12-16,14:00,Bosch Car Service - Parel,,available,False,normal
390,2025-12-16,14:00,CarDekho - Bandra West,,available,False,normal
391,2025-12-16,14:00,Pitstop - Worli,,available,False,normal
392,2025-12-16,14:00,GoMechanic - Lower Parel,,available,False,normal
393,2025-12-16,14:00,MyCarHelpline - Matunga,,available,False,normal
394,2025-12-16,14:00,CarCrew - Prabhadevi,,available,False,normal
395,2025-12-16,14:00,MyTVS - Thane West,,available,False,normal
396,2025-12-16,14:00,Bosch - Thane East,,available,False,normal
397,2025-12-16,14:00,Pitstop - Ghodbunder,,available,False,normal
398,2025-12-16,14:00,GoMechanic - Wagle Estate,,available,False,normal
399,2025-12-16,14:00,CarWale - Kalwa,,available,False,normal
400,2025-12-16,14:00,Autofit - Pokhran Road,,available,True,emergency
401,2025-12-16,14:00,CarFix - Kasarvadavali,,available,True,emergency
402,2025-12-16,14:00,MyTVS - Manpada,,available,True,emergency
403,2025-12-16,14:00,Bosch - Vashi,,available,True,emergency
404,2025-12-16,14:00,CarWale - Nerul,,available,True,emergency
405,2025-12-16,14:00,Pitstop - Sanpada,,available,True,emergency
406,2025-12-16,14:00,GoMechanic - Airoli,,available,True,emergency
407,2025-12-16,14:00,MyTVS - Rabale,,available,True,emergency
408,2025-12-16,14:00,CarCrew - Ghansoli,,available,True,emergency
409,2025-12-16,14:00,Autofit - Koparkhairne,,available,True,emergency
410,2025-12-16,14:00,CarDekho - Panvel,,available,False,normal
411,2025-12-16,14:00,Pitstop - Powai,,available,False,normal
412,2025-12-16,14:00,GoMechanic - JVLR,,available,False,normal
413,2025-12-16,14:00,MyCarHelpline - Hiranandani,,available,False,normal
